id;code;brand;name;quantity;price;category;supermarket;city;zip
232;3083680025881;BONDUELLE;Mais Sans sucre Boite Métal;300g 285e ;1.01;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
233;3083680025881;BONDUELLE;Mais Sans sucre Boite Métal;300g 285e ;1.01;EPICERIE;CORA;MASSY;91300
234;3083680085311;CASSEGRAIN JOCKEY CLUB;Petit pois Tendre Boite de conserve Métal rect.;706g 495e ;2.20;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
235;3083680085311;CASSEGRAIN JOCKEY CLUB;Petit pois Tendre Boite de conserve Métal rect.;706g 495e ;2.58;EPICERIE;CORA;MASSY;91300
237;3083680094092;CASSEGRAIN;Jardinière Legumes Boite de conserve;400g 265e ;1.93;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
238;3083680094092;CASSEGRAIN;Jardinière Legumes Boite de conserve;400g 265e ;1.98;EPICERIE;CORA;MASSY;91300
239;3083680481991;CASSEGRAIN JOCKEY CLUB;Carotte & petit pois Tendre Boite de conserve;706g 465e ;2.64;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
240;3083680481991;CASSEGRAIN JOCKEY CLUB;Carotte & petit pois Tendre Boite de conserve;706g 465e ;2.57;EPICERIE;CORA;MASSY;91300
241;3083680482011;CASSEGRAIN;Flageolet Prepare Extra fin Boite de conserve Métal rect.;706g 465e ;2.54;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
242;3083680482011;CASSEGRAIN;Flageolet Prepare Extra fin Boite de conserve Métal rect.;706g 465e ;2.61;EPICERIE;CORA;MASSY;91300
245;3083680482066;CASSEGRAIN SELECTION TENDRES & FONDANTS;Flageolet Prepare Extra fin Boite de conserve Métal rect.;200g 130e ;1.11;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
246;3083680482066;CASSEGRAIN SELECTION TENDRES & FONDANTS;Flageolet Prepare Extra fin Boite de conserve Métal rect.;200g 130e ;1.11;EPICERIE;CORA;MASSY;91300
247;3083680613576;CASSEGRAIN;Lentilles & oignons & carotte Preparees Boite;400g 265e ;1.48;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
248;3083680613576;CASSEGRAIN;Lentilles & oignons & carotte Preparees Boite;400g 265e ;1.62;EPICERIE;CORA;MASSY;91300
249;3083680652094;CASSEGRAIN;Lentilles & oignons & carotte Preparees Boite;200g 130e ;1.12;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
250;3083680652094;CASSEGRAIN;Lentilles & oignons & carotte Preparees Boite;200g 130e ;1.13;EPICERIE;CORA;MASSY;91300
252;3083680918497;CASSEGRAIN;Lentilles Preparees Boite;706g 460e ;2.59;EPICERIE;AUCHAN;VILLEBON-SUR-YVETTE;91140
253;3083680918497;CASSEGRAIN;Lentilles Preparees Boite;706g 460e ;2.64;EPICERIE;CORA;MASSY;91300
